"S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3"
"Glyma06g43100.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma04g40880.2",5.910758846,5.511110859,5.560032404,0.802444419,0.802444419,2.024570893,2.400776787,0.802444419,0.802444419
"Glyma18g32760.1",5.400091136,3.788031682,4.71439929,2.504094126,2.152379961,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma10g34430.1",5.910758846,5.693887663,5.848650688,4.800537794,5.577444015,4.838822579,5.562111223,5.563612653,5.141950986
"Glyma18g12416.1",3.189934035,2.708883726,2.634493029,2.504094126,2.429190874,2.024570893,2.717845277,2.519621769,2.979755932
"Glyma04g39760.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma15g22810.1",4.600559949,2.480108018,3.976240132,0.802444419,1.495619672,2.485804332,2.970397346,2.354658205,2.979755932
"Glyma15g01250.3",2.57615938,3.878324529,3.262081821,3.100206401,3.345703274,2.485804332,3.919421798,3.846316706,4.005527029
"Glyma19g37490.2",4.189719725,4.894838485,4.574861577,5.058658307,5.005547983,5.390017368,5.562111223,5.334217262,4.931168661
"Glyma11g15030.4",2.57615938,2.902131009,3.491326922,2.504094126,2.652548323,2.485804332,1.960025921,2.519621769,0.802444419
"Glyma14g33210.1",6.492371792,6.152069325,6.544919508,7.427712999,7.342559569,7.427527646,6.886879905,7.186181735,6.925025484
"Glyma08g21370.1",0.802444419,2.195941712,2.412894115,0.802444419,1.495619672,0.802444419,0.802444419,1.780646184,0.802444419
"Glyma02g47690.2",6.393331479,5.941121234,6.428677087,5.467097437,5.334537493,4.904501348,5.368578813,5.012167925,4.591037204
"Glyma19g26690.1",2.57615938,1.806181881,2.412894115,0.802444419,2.152379961,0.802444419,2.400776787,0.802444419,0.802444419
"Glyma06g23730.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma12g11610.2",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma03g05786.1",0.802444419,2.195941712,0.802444419,3.508926494,3.152509389,2.485804332,3.181867923,3.256422827,0.802444419
"Glyma17g16520.2",11.88761571,12.15347868,11.90001009,10.55078411,11.26630327,11.67895435,9.362917779,9.339726181,9.637288298
"Glyma07g08880.1",3.189934035,1.806181881,2.284122113,0.802444419,1.981549201,2.485804332,1.960025921,2.050358216,0.802444419
"Glyma16g06280.2",5.759811393,6.456478741,6.345624706,5.711719484,6.660204368,6.530507252,5.666851582,6.159337111,6.071597943
